provider,OeMnemonic,ProviderMnemonic,indicator_id,indicator_name,haver_description,haver_long_source,haver_discontinued,date,value
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2009,148.48416667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2010,156.37
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2011,155.57666667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2012,148.19416667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2013,153.63416667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2014,149.24666667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2015,131.48916667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2016,113.21416667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2017,111.60916667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2018,108.79916667
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2019,110.7925
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2020,100.00083333
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2021,103.22
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2022,108.76583333
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2023,125.44
haver-local,,B273XNB@BIS,B273XNB@BIS,"Mexico: Nominal Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2024,123.53166667
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1990,0.0
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1991,0.0
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1992,0.0
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1993,0.0
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1994,142.745
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1995,96.27916667
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1996,107.71583333
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1997,124.65833333
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1998,126.515
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,1999,138.27666667
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2000,150.44416667
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2001,161.25
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2002,161.75666667
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2003,143.61166667
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2004,137.19916667
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2005,142.25166667
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2006,142.23
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2007,140.0525
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2008,136.525
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2009,120.04
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2010,129.065
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2011,128.365
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2012,124.49916667
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2013,131.64166667
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2014,130.60666667
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2015,117.37416667
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2016,102.38
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2017,104.95916667
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2018,104.89416667
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2019,108.56583333
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2020,100.00083333
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2021,105.65
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2022,112.92083333
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2023,132.5475
haver-local,,B273XRB@BIS,B273XRB@BIS,"Mexico: Real Broad Effective Exch Rate (Avg, 2020=100)",,Bank for International Settlements,False,2024,133.27916667
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,1990,-8441.0
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,1991,-25139.0
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,1992,-27039.0
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,1993,-33760.0
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,1994,-15786.8
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,1995,10487.4
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,1996,-13297.7
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,1997,-24445.0
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,1998,-21020.8
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,1999,-17699.1
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,2000,-25355.5
